index,RA,DEC,n419 flux (ujy),n419 flux err (ujy),rg flux (ujy),rg flux err (ujy),g flux (ujy),g flux err (ujy),r flux (ujy),r flux err (ujy),i flux (ujy),i flux err (ujy),z flux (ujy),z flux err (ujy),n501 flux (ujy),n501 flux err (ujy),estimated line flux (cgs),estimated EW_rf (A),estimated EW_rf error (A)
107465,15.753657182079031,-0.0264338742510831,2.0229886,0.03511196,0.92679197,0.019175818,0.85562384,0.011578028,0.7128602,0.011473155,0.49649897,0.07548377,0.5059808,0.120129354,0.6738485,0.0314545,1.4309600762500258e-16,37.28606759537918,4.127376580826234
107484,15.075364459235912,-0.0250630850244655,0.47334024,0.048200425,0.17468062,0.017055718,0.22836696,0.015297064,0.42125922,0.015493657,0.53966165,0.07785137,0.3318802,0.15524147,0.22599706,0.044308696,3.898661799462052e-17,55.687599561017116,12.688537392427554
107662,14.50475213748818,-0.0244799761226564,0.8837196,0.047186054,0.2393005,0.028957408,0.20130855,0.015408931,0.13562004,0.015594002,0.15957078,0.08127415,3.6307804e-07,0.185346,0.06417346,0.043168053,8.412158724415828e-17,95.86562526123997,18.220471260530037
107780,15.449233406414203,-0.0233243759660623,0.4625704,0.047708932,0.18325001,0.023890601,0.1770528,0.015275785,0.16366906,0.015006333,0.044336166,0.08258307,0.15850975,0.16369332,0.15409741,0.04303249,3.646210138162775e-17,48.990001136564196,13.499222158776632
107839,15.953338380895746,-0.0231456639773069,0.4977995,0.03593142,0.06922106,0.018440235,0.06661435,0.011730263,0.061021406,0.011558744,0.19337015,0.08111672,0.38906914,0.11571288,0.08271804,0.032488216,5.594604292676187e-17,358.11713866925976,173.59526515748226
107889,15.748374596913113,-0.0228582870099669,0.45891282,0.034020096,0.19049366,0.01643166,0.19233193,0.011024871,0.19659853,0.011441281,0.36207268,0.07372893,0.38215652,0.13756955,0.23683113,0.03173311,3.5039069738844916e-17,44.95398910917388,9.172928800497516
108145,14.965105219479463,-0.0206321652534034,0.343171,0.04664724,0.09635218,0.021124633,0.10182424,0.015011337,0.1155212,0.014801249,0.06268221,0.085001126,0.15895161,0.15793312,0.1520336,0.042466417,3.2219390921420847e-17,89.99237090223288,32.78417270579381
108183,15.484816537583708,-0.0203217196377931,0.32903495,0.045062397,0.1562528,0.017360099,0.19828442,0.015093068,0.34171638,0.014973683,0.49795738,0.08762977,0.52952206,0.16153508,0.20722835,0.04357129,2.2554745359748402e-17,34.752509376360166,11.517778792881273
108393,15.349190227020634,-0.0189960594944894,0.27768296,0.046368647,0.101261675,0.017881943,0.12804079,0.015481609,0.21886186,0.0155445235,0.28120738,0.096248455,0.1479,0.17781986,0.2583005,0.044170536,2.3029793061462655e-17,56.88659340108953,21.447506227202616
108480,15.44253446426001,-0.018869524047821,0.75918955,0.04695965,0.36197868,0.022824533,0.3609574,0.0151430415,0.35863662,0.015065382,0.38688007,0.08587532,0.5687361,0.16581546,0.3118132,0.043006916,5.1851363274355166e-17,34.476625257208276,6.574493893223918
108564,15.749765528663444,-0.0182074731745645,0.26511332,0.034602717,0.109252535,0.017185448,0.10810074,0.0112873595,0.1055151,0.011328431,3.6307804e-07,0.07818477,0.037515063,0.1429956,0.1043359,0.030807814,2.034585353432339e-17,45.56260910298936,15.583588473747474
108600,14.26421719699742,-0.0184470329752748,1.2615125,0.044528536,0.05709458,0.019937942,0.0630638,0.014828063,0.07914934,0.015841927,3.6307804e-07,0.0862999,3.6307804e-07,0.1589777,3.6307804e-07,0.042543188,1.5722306669015188e-16,-681.4825327080988,604.9453063465095
108789,16.08359487839343,-0.0163966429297457,0.31481814,0.037911236,0.032678124,0.018350985,0.027310185,0.012274075,0.015046011,0.011506627,0.067014456,0.09677659,3.6307804e-07,0.124813326,0.11778878,0.034057975,3.6830171500211924e-17,912.5582110607841,1809.1458359086828
109634,15.168881241236118,-0.0106667811646327,0.41099638,0.043457333,0.13067481,0.020484243,0.1409525,0.0148924785,0.16757095,0.014822813,0.2802359,0.096294776,0.40985146,0.17585357,0.2108961,0.041470926,3.65927940484297e-17,72.44697670147791,20.261295676594667
109718,15.818366954582398,-0.0101307214834778,0.24562316,0.030957194,0.06903889,0.014954193,0.073289126,0.010688752,0.08400786,0.010429741,0.011229391,0.083265536,0.03875887,0.118366145,0.011435645,0.028824251,2.3051068900271576e-17,89.82135972988664,31.81509331767506
109760,14.729911418291929,-0.0098834149995107,0.29977298,0.044873897,0.111821294,0.018658308,0.13123283,0.014912071,0.1891792,0.014677969,0.24394815,0.10956682,3.6307804e-07,0.19189447,0.10606082,0.04264494,2.453495582538699e-17,54.62663845230292,19.27089416163776
109797,15.44624064658824,-0.0105112103253541,1.5168222,0.047149986,0.47660413,0.025105452,0.44507337,0.015366324,0.38064137,0.015334247,0.3504328,0.09511164,0.44723865,0.18604143,0.3779532,0.04432059,1.3578864302509802e-16,73.95809813689202,7.817041753883706
110027,15.592679592451322,-0.0081500519146326,0.5631753,0.042824388,0.18202373,0.023672517,0.17033707,0.014549792,0.14637658,0.014316342,0.2936101,0.09528244,0.120801166,0.17376462,0.14574438,0.041387044,4.9755004234050333e-17,70.39567743817493,15.990768138918888
110437,15.012470989344727,-0.0053713592546498,0.60106665,0.044943687,0.29712924,0.022846365,0.29088372,0.014788091,0.27710158,0.015114348,0.045080595,0.09993965,3.6307804e-07,0.17621668,0.16408229,0.042409614,3.967557347707184e-17,32.06708134418136,7.301021923299076
110547,15.610670157350416,-0.0044675086307015,0.37579495,0.041338358,0.121934325,0.017903214,0.14345765,0.014359289,0.20797862,0.01384932,0.2827782,0.096398376,0.078863144,0.16802761,0.13306585,0.040366635,3.3138618507418606e-17,69.91745087262338,19.144800938375067
110656,15.7620637979521,-0.0040686662766688,0.48601165,0.0333321,0.24014486,0.014046164,0.2744854,0.010891575,0.372511,0.010988258,0.22810099,0.0864913,0.24333438,0.12339375,0.26670766,0.031324524,3.209511422834324e-17,32.09646310409585,6.451584079933337
110852,15.787319398736065,-0.0029683968179944,0.3994336,0.03195225,0.06193201,0.017924625,0.056947786,0.01080593,0.047013957,0.010383108,3.6307804e-07,0.08264931,0.09707611,0.119630545,0.023432594,0.029388044,4.405699559219635e-17,277.42759763829787,130.58789181059063
110859,15.117241455664674,-0.0024160083538235,0.44434908,0.043551326,0.12723322,0.03191309,0.098233216,0.015171472,0.054398894,0.0144992545,3.6307804e-07,0.10621675,0.23061752,0.19796932,0.18505993,0.042478513,4.139587030163489e-17,86.96382567511186,33.19976833365058
111125,15.968805262523563,-0.0010050019703871,0.25607482,0.03444987,0.045939676,0.016961612,0.047415573,0.011767444,0.050968017,0.011054502,3.6307804e-07,0.10318114,0.018218607,0.1412215,0.04904998,0.031595826,2.743075406836911e-17,204.25072415591762,115.09709899697215
